total KP 
5116
bin time[s]
0.0001
time[s],counts
0.000060,12.000000
0.000160,5.000000
0.000260,10.000000
0.000360,7.000000
0.000460,18.000000
0.000560,12.000000
0.000660,7.000000
0.000760,10.000000
0.000860,14.000000
0.000960,13.000000
0.001060,8.000000
0.001160,14.000000
0.001260,8.000000
0.001360,8.000000
0.001460,11.000000
0.001560,12.000000
0.001660,16.000000
0.001760,10.000000
0.001860,13.000000
0.001960,5.000000
0.002060,11.000000
0.002160,14.000000
0.002260,9.000000
0.002360,14.000000
0.002460,16.000000
0.002560,13.000000
0.002660,12.000000
0.002760,11.000000
0.002860,15.000000
0.002960,12.000000
0.003060,10.000000
0.003160,7.000000
0.003260,13.000000
0.003360,12.000000
0.003460,12.000000
0.003560,13.000000
0.003660,19.000000
0.003760,13.000000
0.003860,11.000000
0.003960,15.000000
0.004060,7.000000
0.004160,7.000000
0.004260,10.000000
0.004360,12.000000
0.004460,11.000000
0.004560,9.000000
0.004660,6.000000
0.004760,5.000000
0.004860,9.000000
0.004960,5.000000
0.005060,10.000000
0.005160,7.000000
0.005260,8.000000
0.005360,9.000000
0.005460,6.000000
0.005560,10.000000
0.005660,8.000000
0.005760,11.000000
0.005860,13.000000
0.005960,5.000000
0.006060,7.000000
0.006160,6.000000
0.006260,5.000000
0.006360,9.000000
0.006460,8.000000
0.006560,8.000000
0.006660,7.000000
0.006760,12.000000
0.006860,12.000000
0.006960,10.000000
0.007060,10.000000
0.007160,2.000000
0.007260,6.000000
0.007360,7.000000
0.007460,8.000000
0.007560,2.000000
0.007660,6.000000
0.007760,4.000000
0.007860,8.000000
0.007960,8.000000
0.008060,6.000000
0.008160,5.000000
0.008260,9.000000
0.008360,7.000000
0.008460,7.000000
0.008560,7.000000
0.008660,2.000000
0.008760,8.000000
0.008860,6.000000
0.008960,5.000000
0.009060,8.000000
0.009160,4.000000
0.009260,4.000000
0.009360,7.000000
0.009460,4.000000
0.009560,7.000000
0.009660,5.000000
0.009760,5.000000
0.009860,4.000000
0.009960,5.000000
0.010060,7.000000
0.010160,5.000000
0.010260,9.000000
0.010360,1.000000
0.010460,3.000000
0.010560,4.000000
0.010660,5.000000
0.010760,5.000000
0.010860,4.000000
0.010960,6.000000
0.011060,4.000000
0.011160,5.000000
0.011260,4.000000
0.011360,4.000000
0.011460,3.000000
0.011560,7.000000
0.011660,3.000000
0.011760,4.000000
0.011860,4.000000
0.011960,3.000000
0.012060,3.000000
0.012160,1.000000
0.012260,4.000000
0.012360,5.000000
0.012460,2.000000
0.012560,3.000000
0.012660,3.000000
0.012760,3.000000
0.012860,7.000000
0.012960,6.000000
0.013060,7.000000
0.013160,8.000000
0.013260,10.000000
0.013360,0.000000
0.013460,4.000000
0.013560,4.000000
0.013660,3.000000
0.013760,6.000000
0.013860,3.000000
0.013960,9.000000
0.014060,7.000000
0.014160,1.000000
0.014260,8.000000
0.014360,5.000000
0.014460,7.000000
0.014560,3.000000
0.014660,3.000000
0.014760,0.000000
0.014860,3.000000
0.014960,1.000000
0.015060,1.000000
0.015160,1.000000
0.015260,2.000000
0.015360,1.000000
0.015460,3.000000
0.015560,1.000000
0.015660,2.000000
0.015760,1.000000
0.015860,0.000000
0.015960,1.000000
0.016060,0.000000
0.016160,1.000000
0.016260,0.000000
0.016360,1.000000
0.016460,4.000000
0.016560,1.000000
0.016660,1.000000
0.016760,0.000000
0.016860,3.000000
0.016960,1.000000
0.017060,0.000000
0.017160,0.000000
0.017260,1.000000
0.017360,0.000000
0.017460,0.000000
0.017560,3.000000
0.017660,0.000000
0.017760,2.000000
0.017860,0.000000
0.017960,1.000000
0.018060,1.000000
0.018160,3.000000
0.018260,3.000000
0.018360,2.000000
0.018460,1.000000
0.018560,2.000000
0.018660,1.000000
0.018760,0.000000
0.018860,0.000000
0.018960,0.000000
0.019060,1.000000
0.019160,0.000000
0.019260,1.000000
0.019360,0.000000
0.019460,1.000000
0.019560,0.000000
0.019660,0.000000
0.019760,1.000000
0.019860,0.000000
0.019960,1.000000
0.020060,1.000000
0.020160,1.000000
0.020260,1.000000
0.020360,1.000000
0.020460,1.000000
0.020560,1.000000
0.020660,0.000000
0.020760,0.000000
0.020860,0.000000
0.020960,1.000000
0.021060,1.000000
0.021160,1.000000
0.021260,0.000000
0.021360,0.000000
0.021460,1.000000
0.021560,0.000000
0.021660,0.000000
0.021760,0.000000
0.021860,1.000000
0.021960,1.000000
0.022060,0.000000
0.022160,0.000000
0.022260,1.000000
0.022360,1.000000
0.022460,1.000000
0.022560,0.000000
0.022660,0.000000
0.022760,0.000000
0.022860,1.000000
0.022960,0.000000
0.023060,1.000000
0.023160,0.000000
0.023260,1.000000
0.023360,1.000000
0.023460,2.000000
0.023560,1.000000
0.023660,0.000000
0.023760,0.000000
0.023860,0.000000
0.023960,0.000000
0.024060,0.000000
0.024160,0.000000
0.024260,0.000000
0.024360,0.000000
0.024460,0.000000
0.024560,0.000000
0.024660,0.000000
0.024760,0.000000
0.024860,0.000000
0.024960,0.000000
0.025060,0.000000
0.025160,0.000000
0.025260,0.000000
0.025360,1.000000
0.025460,1.000000
0.025560,0.000000
0.025660,0.000000
0.025760,0.000000
0.025860,0.000000
0.025960,0.000000
0.026060,2.000000
0.026160,1.000000
0.026260,0.000000
0.026360,0.000000
0.026460,0.000000
0.026560,1.000000
0.026660,0.000000
0.026760,0.000000
0.026860,0.000000
0.026960,0.000000
0.027060,1.000000
0.027160,1.000000
0.027260,0.000000
0.027360,0.000000
0.027460,0.000000
0.027560,1.000000
0.027660,1.000000
0.027760,2.000000
0.027860,0.000000
0.027960,0.000000
0.028060,1.000000
0.028160,1.000000
0.028260,0.000000
0.028360,1.000000
0.028460,0.000000
0.028560,1.000000
0.028660,0.000000
0.028760,0.000000
0.028860,0.000000
0.028960,0.000000
0.029060,0.000000
0.029160,0.000000
0.029260,0.000000
0.029360,0.000000
0.029460,0.000000
0.029560,1.000000
0.029660,1.000000
0.029760,0.000000
0.029860,0.000000
0.029960,0.000000
0.030060,0.000000
0.030160,1.000000
0.030260,2.000000
0.030360,2.000000
0.030460,1.000000
0.030560,0.000000
0.030660,1.000000
0.030760,3.000000
0.030860,0.000000
0.030960,0.000000
0.031060,0.000000
0.031160,0.000000
0.031260,0.000000
0.031360,0.000000
0.031460,1.000000
0.031560,0.000000
0.031660,0.000000
0.031760,1.000000
0.031860,1.000000
0.031960,2.000000
0.032060,1.000000
0.032160,1.000000
0.032260,0.000000
0.032360,1.000000
0.032460,0.000000
0.032560,0.000000
0.032660,0.000000
0.032760,0.000000
