total KP 
5116
bin time[s]
0.0001
time[s],counts
0.555320,2.000000
0.555420,2.000000
0.555520,5.000000
0.555620,0.000000
0.555720,1.000000
0.555820,0.000000
0.555920,1.000000
0.556020,0.000000
0.556120,3.000000
0.556220,0.000000
0.556320,2.000000
0.556420,2.000000
0.556520,3.000000
0.556620,9.000000
0.556720,5.000000
0.556820,3.000000
0.556920,2.000000
0.557020,4.000000
0.557120,2.000000
0.557220,1.000000
0.557320,3.000000
0.557420,3.000000
0.557520,3.000000
0.557620,3.000000
0.557720,0.000000
0.557820,1.000000
0.557920,5.000000
0.558020,7.000000
0.558120,3.000000
0.558220,2.000000
0.558320,6.000000
0.558420,3.000000
0.558520,2.000000
0.558620,3.000000
0.558720,5.000000
0.558820,4.000000
0.558920,6.000000
0.559020,7.000000
0.559120,3.000000
0.559220,4.000000
0.559320,2.000000
0.559420,3.000000
0.559520,4.000000
0.559620,2.000000
0.559720,5.000000
0.559820,2.000000
0.559920,12.000000
0.560020,2.000000
0.560120,5.000000
0.560220,7.000000
0.560320,3.000000
0.560420,3.000000
0.560520,5.000000
0.560620,4.000000
0.560720,2.000000
0.560820,3.000000
0.560920,4.000000
0.561020,7.000000
0.561120,11.000000
0.561220,6.000000
0.561320,6.000000
0.561420,5.000000
0.561520,9.000000
0.561620,2.000000
0.561720,6.000000
0.561820,9.000000
0.561920,8.000000
0.562020,3.000000
0.562120,7.000000
0.562220,6.000000
0.562320,3.000000
0.562420,4.000000
0.562520,9.000000
0.562620,5.000000
0.562720,9.000000
0.562820,10.000000
0.562920,5.000000
0.563020,13.000000
0.563120,8.000000
0.563220,6.000000
0.563320,7.000000
0.563420,6.000000
0.563520,8.000000
0.563620,1.000000
0.563720,8.000000
0.563820,6.000000
0.563920,5.000000
0.564020,9.000000
0.564120,10.000000
0.564220,6.000000
0.564320,9.000000
0.564420,9.000000
0.564520,3.000000
0.564620,8.000000
0.564720,4.000000
0.564820,6.000000
0.564920,6.000000
0.565020,10.000000
0.565120,5.000000
0.565220,10.000000
0.565320,5.000000
0.565420,10.000000
0.565520,9.000000
0.565620,6.000000
0.565720,9.000000
0.565820,9.000000
0.565920,12.000000
0.566020,6.000000
0.566120,8.000000
0.566220,5.000000
0.566320,6.000000
0.566420,10.000000
0.566520,6.000000
0.566620,6.000000
0.566720,5.000000
0.566820,6.000000
0.566920,3.000000
0.567020,7.000000
0.567120,5.000000
0.567220,8.000000
0.567320,9.000000
0.567420,14.000000
0.567520,11.000000
0.567620,5.000000
0.567720,10.000000
0.567820,10.000000
0.567920,10.000000
0.568020,5.000000
0.568120,7.000000
0.568220,4.000000
0.568320,7.000000
0.568420,6.000000
0.568520,12.000000
0.568620,14.000000
0.568720,9.000000
0.568820,10.000000
0.568920,8.000000
0.569020,8.000000
0.569120,11.000000
0.569220,13.000000
0.569320,7.000000
0.569420,9.000000
0.569520,13.000000
0.569620,11.000000
0.569720,10.000000
0.569820,11.000000
0.569920,6.000000
0.570020,5.000000
0.570120,8.000000
0.570220,11.000000
0.570320,9.000000
0.570420,11.000000
0.570520,12.000000
0.570620,8.000000
0.570720,15.000000
0.570820,9.000000
0.570920,10.000000
0.571020,8.000000
0.571120,11.000000
0.571220,8.000000
0.571320,2.000000
0.571420,18.000000
0.571520,2.000000
0.571620,11.000000
0.571720,7.000000
0.571820,16.000000
0.571920,13.000000
0.572020,11.000000
0.572120,12.000000
0.572220,8.000000
0.572320,7.000000
0.572420,9.000000
0.572520,6.000000
0.572620,10.000000
0.572720,11.000000
0.572820,10.000000
0.572920,9.000000
0.573020,11.000000
0.573120,8.000000
0.573220,9.000000
0.573320,20.000000
0.573420,9.000000
0.573520,8.000000
0.573620,9.000000
0.573720,9.000000
0.573820,13.000000
0.573920,4.000000
0.574020,7.000000
0.574120,10.000000
0.574220,14.000000
0.574320,7.000000
0.574420,13.000000
0.574520,10.000000
0.574620,10.000000
0.574720,11.000000
0.574820,12.000000
0.574920,12.000000
0.575020,11.000000
0.575120,8.000000
0.575220,9.000000
0.575320,10.000000
0.575420,10.000000
0.575520,14.000000
0.575620,5.000000
0.575720,10.000000
0.575820,15.000000
0.575920,10.000000
0.576020,9.000000
0.576120,11.000000
0.576220,6.000000
0.576320,13.000000
0.576420,9.000000
0.576520,8.000000
0.576620,14.000000
0.576720,20.000000
0.576820,9.000000
0.576920,8.000000
0.577020,10.000000
0.577120,10.000000
0.577220,8.000000
0.577320,11.000000
0.577420,4.000000
0.577520,6.000000
0.577620,14.000000
0.577720,10.000000
0.577820,8.000000
0.577920,8.000000
0.578020,11.000000
0.578120,11.000000
0.578220,10.000000
0.578320,3.000000
0.578420,17.000000
0.578520,6.000000
0.578620,11.000000
0.578720,8.000000
0.578820,16.000000
0.578920,12.000000
0.579020,12.000000
0.579120,11.000000
0.579220,16.000000
0.579320,17.000000
0.579420,7.000000
0.579520,12.000000
0.579620,8.000000
0.579720,10.000000
0.579820,15.000000
0.579920,11.000000
0.580020,16.000000
0.580120,7.000000
0.580220,7.000000
0.580320,10.000000
0.580420,9.000000
0.580520,9.000000
0.580620,5.000000
0.580720,14.000000
0.580820,6.000000
0.580920,12.000000
0.581020,14.000000
0.581120,15.000000
0.581220,10.000000
0.581320,11.000000
0.581420,6.000000
0.581520,13.000000
0.581620,6.000000
0.581720,8.000000
0.581820,9.000000
0.581920,9.000000
0.582020,10.000000
0.582120,10.000000
0.582220,12.000000
0.582320,9.000000
0.582420,7.000000
0.582520,11.000000
0.582620,15.000000
0.582720,15.000000
0.582820,12.000000
0.582920,7.000000
0.583020,8.000000
0.583120,13.000000
0.583220,11.000000
0.583320,15.000000
0.583420,12.000000
0.583520,11.000000
0.583620,8.000000
0.583720,15.000000
0.583820,11.000000
0.583920,7.000000
0.584020,15.000000
0.584120,10.000000
0.584220,17.000000
0.584320,6.000000
0.584420,11.000000
0.584520,2.000000
0.584620,12.000000
0.584720,11.000000
0.584820,9.000000
0.584920,8.000000
0.585020,16.000000
0.585120,10.000000
0.585220,8.000000
0.585320,15.000000
0.585420,7.000000
0.585520,11.000000
0.585620,7.000000
0.585720,11.000000
0.585820,12.000000
0.585920,12.000000
0.586020,9.000000
0.586120,9.000000
0.586220,7.000000
0.586320,7.000000
0.586420,7.000000
0.586520,11.000000
0.586620,11.000000
0.586720,15.000000
0.586820,6.000000
0.586920,11.000000
0.587020,11.000000
0.587120,9.000000
0.587220,5.000000
0.587320,10.000000
0.587420,13.000000
0.587520,11.000000
0.587620,8.000000
0.587720,15.000000
0.587820,8.000000
0.587920,4.000000
0.588020,8.000000
0.588120,10.000000
0.588220,8.000000
0.588320,10.000000
0.588420,11.000000
0.588520,14.000000
0.588620,6.000000
0.588720,8.000000
0.588820,10.000000
0.588920,7.000000
0.589020,6.000000
0.589120,18.000000
0.589220,13.000000
0.589320,10.000000
0.589420,11.000000
0.589520,8.000000
0.589620,12.000000
0.589720,10.000000
0.589820,14.000000
0.589920,10.000000
0.590020,11.000000
0.590120,10.000000
0.590220,8.000000
0.590320,13.000000
0.590420,12.000000
0.590520,14.000000
0.590620,5.000000
0.590720,22.000000
0.590820,15.000000
0.590920,12.000000
0.591020,14.000000
0.591120,11.000000
0.591220,9.000000
0.591320,7.000000
0.591420,7.000000
0.591520,9.000000
0.591620,4.000000
0.591720,9.000000
0.591820,9.000000
0.591920,7.000000
0.592020,7.000000
0.592120,7.000000
0.592220,6.000000
0.592320,8.000000
0.592420,7.000000
0.592520,5.000000
