total KP 
5116
bin time[s]
0.0001
time[s],counts
0.540499,1.000000
0.540599,0.000000
0.540699,0.000000
0.540799,0.000000
0.540899,0.000000
0.540999,0.000000
0.541099,0.000000
0.541199,0.000000
0.541299,1.000000
0.541399,0.000000
0.541499,1.000000
0.541599,0.000000
0.541699,0.000000
0.541799,0.000000
0.541899,0.000000
0.541999,0.000000
0.542099,0.000000
0.542199,0.000000
0.542299,0.000000
0.542399,0.000000
0.542499,0.000000
0.542599,0.000000
0.542699,0.000000
0.542799,1.000000
0.542899,0.000000
0.542999,1.000000
0.543099,0.000000
0.543199,0.000000
0.543299,0.000000
0.543399,1.000000
0.543499,1.000000
0.543599,0.000000
0.543699,0.000000
0.543799,0.000000
0.543899,1.000000
0.543999,0.000000
0.544099,0.000000
0.544199,0.000000
0.544299,0.000000
0.544399,0.000000
0.544499,0.000000
0.544599,0.000000
0.544699,0.000000
0.544799,0.000000
0.544899,1.000000
0.544999,0.000000
0.545099,0.000000
0.545199,0.000000
0.545299,0.000000
0.545399,0.000000
0.545499,0.000000
0.545599,0.000000
0.545699,0.000000
0.545799,1.000000
0.545899,2.000000
0.545999,0.000000
0.546099,1.000000
0.546199,1.000000
0.546299,1.000000
0.546399,0.000000
0.546499,0.000000
0.546599,0.000000
0.546699,0.000000
0.546799,0.000000
0.546899,3.000000
0.546999,0.000000
0.547099,1.000000
0.547199,0.000000
0.547299,0.000000
0.547399,1.000000
0.547499,0.000000
0.547599,0.000000
0.547699,0.000000
0.547799,1.000000
0.547899,0.000000
0.547999,1.000000
0.548099,0.000000
0.548199,1.000000
0.548299,1.000000
0.548399,0.000000
0.548499,0.000000
0.548599,1.000000
0.548699,3.000000
0.548799,1.000000
0.548899,3.000000
0.548999,0.000000
0.549099,0.000000
0.549199,1.000000
0.549299,3.000000
0.549399,2.000000
0.549499,0.000000
0.549599,0.000000
0.549699,0.000000
0.549799,0.000000
0.549899,0.000000
0.549999,1.000000
0.550099,3.000000
0.550199,2.000000
0.550299,0.000000
0.550399,0.000000
0.550499,0.000000
0.550599,0.000000
0.550699,0.000000
0.550799,0.000000
0.550899,0.000000
0.550999,1.000000
0.551099,2.000000
0.551199,1.000000
0.551299,0.000000
0.551399,0.000000
0.551499,1.000000
0.551599,1.000000
0.551699,1.000000
0.551799,2.000000
0.551899,2.000000
0.551999,1.000000
0.552099,2.000000
0.552199,0.000000
0.552299,0.000000
0.552399,0.000000
0.552499,0.000000
0.552599,1.000000
0.552699,1.000000
0.552799,1.000000
0.552899,1.000000
0.552999,0.000000
0.553099,0.000000
0.553199,1.000000
0.553299,0.000000
0.553399,2.000000
0.553499,3.000000
0.553599,2.000000
0.553699,1.000000
0.553799,1.000000
0.553899,2.000000
0.553999,1.000000
0.554099,1.000000
0.554199,2.000000
0.554299,3.000000
0.554399,1.000000
0.554499,0.000000
0.554599,1.000000
0.554699,0.000000
0.554799,0.000000
0.554899,1.000000
0.554999,0.000000
0.555099,0.000000
0.555199,2.000000
0.555299,3.000000
0.555399,2.000000
0.555499,1.000000
0.555599,5.000000
0.555699,2.000000
0.555799,1.000000
0.555899,2.000000
0.555999,1.000000
0.556099,2.000000
0.556199,0.000000
0.556299,1.000000
0.556399,1.000000
0.556499,2.000000
0.556599,3.000000
0.556699,5.000000
0.556799,2.000000
0.556899,3.000000
0.556999,4.000000
0.557099,2.000000
0.557199,0.000000
0.557299,0.000000
0.557399,2.000000
0.557499,3.000000
0.557599,1.000000
0.557699,2.000000
0.557799,0.000000
0.557899,5.000000
0.557999,4.000000
0.558099,3.000000
0.558199,3.000000
0.558299,1.000000
0.558399,2.000000
0.558499,2.000000
0.558599,0.000000
0.558699,2.000000
0.558799,2.000000
0.558899,3.000000
0.558999,3.000000
0.559099,5.000000
0.559199,1.000000
0.559299,1.000000
0.559399,2.000000
0.559499,0.000000
0.559599,2.000000
0.559699,2.000000
0.559799,5.000000
0.559899,3.000000
0.559999,1.000000
0.560099,4.000000
0.560199,6.000000
0.560299,4.000000
0.560399,1.000000
0.560499,2.000000
0.560599,1.000000
0.560699,2.000000
0.560799,0.000000
0.560899,3.000000
0.560999,3.000000
0.561099,3.000000
0.561199,1.000000
0.561299,2.000000
0.561399,1.000000
0.561499,5.000000
0.561599,0.000000
0.561699,4.000000
0.561799,4.000000
0.561899,4.000000
0.561999,2.000000
0.562099,2.000000
0.562199,4.000000
0.562299,2.000000
0.562399,2.000000
0.562499,3.000000
0.562599,3.000000
0.562699,3.000000
0.562799,6.000000
0.562899,1.000000
0.562999,3.000000
0.563099,8.000000
0.563199,0.000000
0.563299,1.000000
0.563399,1.000000
0.563499,4.000000
0.563599,3.000000
0.563699,3.000000
0.563799,4.000000
0.563899,6.000000
0.563999,3.000000
0.564099,3.000000
0.564199,5.000000
0.564299,5.000000
0.564399,5.000000
0.564499,2.000000
0.564599,5.000000
0.564699,0.000000
0.564799,2.000000
0.564899,3.000000
0.564999,1.000000
0.565099,6.000000
0.565199,5.000000
0.565299,1.000000
0.565399,3.000000
0.565499,3.000000
0.565599,3.000000
0.565699,2.000000
0.565799,2.000000
0.565899,4.000000
0.565999,3.000000
0.566099,5.000000
0.566199,2.000000
0.566299,4.000000
0.566399,4.000000
0.566499,4.000000
0.566599,3.000000
0.566699,2.000000
0.566799,4.000000
0.566899,3.000000
0.566999,1.000000
0.567099,5.000000
0.567199,4.000000
0.567299,6.000000
0.567399,4.000000
0.567499,6.000000
0.567599,1.000000
0.567699,2.000000
0.567799,6.000000
0.567899,3.000000
0.567999,1.000000
0.568099,3.000000
0.568199,0.000000
0.568299,3.000000
0.568399,2.000000
0.568499,8.000000
0.568599,6.000000
0.568699,6.000000
0.568799,4.000000
0.568899,4.000000
0.568999,2.000000
0.569099,4.000000
0.569199,7.000000
0.569299,4.000000
0.569399,5.000000
0.569499,9.000000
0.569599,5.000000
0.569699,5.000000
0.569799,7.000000
0.569899,5.000000
0.569999,3.000000
0.570099,4.000000
0.570199,1.000000
0.570299,6.000000
0.570399,5.000000
0.570499,4.000000
0.570599,2.000000
0.570699,3.000000
0.570799,3.000000
0.570899,6.000000
0.570999,6.000000
0.571099,8.000000
0.571199,0.000000
0.571299,2.000000
0.571399,11.000000
0.571499,1.000000
0.571599,8.000000
0.571699,3.000000
0.571799,7.000000
0.571899,7.000000
0.571999,6.000000
0.572099,7.000000
0.572199,5.000000
0.572299,3.000000
0.572399,4.000000
0.572499,5.000000
0.572599,5.000000
0.572699,5.000000
0.572799,4.000000
0.572899,1.000000
0.572999,6.000000
0.573099,5.000000
0.573199,7.000000
0.573299,4.000000
0.573399,7.000000
0.573499,4.000000
0.573599,3.000000
0.573699,2.000000
0.573799,5.000000
0.573899,4.000000
0.573999,3.000000
0.574099,4.000000
0.574199,3.000000
0.574299,5.000000
0.574399,8.000000
0.574499,4.000000
0.574599,4.000000
0.574699,1.000000
0.574799,4.000000
0.574899,4.000000
0.574999,4.000000
0.575099,2.000000
0.575199,4.000000
0.575299,4.000000
0.575399,6.000000
0.575499,9.000000
0.575599,2.000000
0.575699,3.000000
0.575799,4.000000
0.575899,2.000000
0.575999,4.000000
0.576099,6.000000
0.576199,4.000000
0.576299,4.000000
0.576399,5.000000
0.576499,2.000000
0.576599,5.000000
0.576699,9.000000
0.576799,5.000000
0.576899,4.000000
0.576999,0.000000
0.577099,5.000000
0.577199,3.000000
0.577299,3.000000
0.577399,3.000000
0.577499,4.000000
0.577599,3.000000
0.577699,2.000000
0.577799,5.000000
0.577899,4.000000
0.577999,6.000000
0.578099,3.000000
0.578199,6.000000
0.578299,2.000000
0.578399,13.000000
0.578499,1.000000
0.578599,5.000000
0.578699,4.000000
0.578799,5.000000
0.578899,6.000000
0.578999,3.000000
0.579099,6.000000
0.579199,10.000000
0.579299,6.000000
